timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2025-06-11 12:00:00+00:00,109260.91,110342.38,109106.81,109677.01,0.99425,1749657599999,109205.0372039,359,0.61607,67713.9636503,0.0
2025-06-11 16:00:00+00:00,109798.53,109834.22,108500.0,108741.01,3.1021,1749671999999,337690.4291597,593,0.81209,88450.0141366,0.0
2025-06-11 20:00:00+00:00,108725.82,109222.29,108131.79,108625.0,0.84668,1749686399999,92092.2630375,361,0.29687,32306.8093022,0.0
2025-06-12 00:00:00+00:00,108688.9,108810.58,107820.4,108050.88,0.85851,1749700799999,93000.0021928,305,0.28498,30871.2302499,0.0
2025-06-12 04:00:00+00:00,107969.59,108130.95,107429.05,107685.7,1.7212,1749715199999,185421.7068396,229,0.20111,21669.1503377,0.0
2025-06-12 08:00:00+00:00,107656.57,107861.16,106968.83,107008.43,0.60178,1749729599999,64525.6372511,189,0.18412,19806.1783077,0.0
2025-06-12 12:00:00+00:00,106959.41,107782.22,106687.21,107115.03,1.22297,1749743999999,131249.7682371,310,0.92517,99360.6036784,0.0
2025-06-12 16:00:00+00:00,107115.91,108461.01,106733.16,106882.56,0.66207,1749758399999,71147.7496093,454,0.20368,21956.5770414,0.0
2025-06-12 20:00:00+00:00,106806.26,106989.89,105708.18,105708.18,5.95181,1749772799999,630294.1742852,566,4.6947,497026.6445944,0.0
2025-06-13 00:00:00+00:00,105703.2,105741.26,102711.06,104453.06,6.13927,1749787199999,638058.8603989,1239,2.00307,208062.9971012,0.0
2025-06-13 04:00:00+00:00,104319.54,104905.87,103831.08,104905.87,0.61808,1749801599999,64466.6139441,203,0.2406,25113.6639128,0.0
2025-06-13 08:00:00+00:00,104858.69,105414.33,104488.77,105033.18,0.80205,1749815999999,84220.5671989,225,0.6278,65948.1693246,0.0
2025-06-13 12:00:00+00:00,104993.9,105702.68,104198.8,105373.52,0.60949,1749830399999,63949.7179962,263,0.24537,25806.3571305,0.0
2025-06-13 16:00:00+00:00,105444.37,105908.79,104663.16,105011.53,0.71505,1749844799999,75446.604925,233,0.4208,44472.002901,0.0
2025-06-13 20:00:00+00:00,105223.17,106130.99,105033.22,106043.25,0.80307,1749859199999,84900.4082211,217,0.56374,59650.6483331,0.0
2025-06-14 00:00:00+00:00,106060.59,106189.14,105234.57,105236.75,3.5047,1749873599999,370403.097838,244,2.75846,291606.0533656,0.0
2025-06-14 04:00:00+00:00,105312.1,105449.65,104884.32,105021.33,0.36948,1749887999999,38853.7749629,139,0.13766,14492.5931829,0.0
2025-06-14 08:00:00+00:00,104874.84,105132.89,104799.7,104990.2,0.20374,1749902399999,21403.9323647,66,0.17185,18057.7663802,0.0
2025-06-14 12:00:00+00:00,104996.32,105152.55,104700.57,104863.88,0.53468,1749916799999,56089.8273031,144,0.35146,36884.911681,0.0
2025-06-14 16:00:00+00:00,104863.88,105009.59,104399.61,104647.8,0.51836,1749931199999,54267.7159783,254,0.29217,30591.5048188,0.0
2025-06-14 20:00:00+00:00,104670.18,105499.99,104347.27,105410.13,0.71687,1749945599999,75431.5149411,188,0.52129,54877.4966654,0.0
2025-06-15 00:00:00+00:00,105410.21,105672.99,105346.33,105557.24,0.60438,1749959999999,63727.9992112,185,0.2266,23912.4235197,0.0
2025-06-15 04:00:00+00:00,105402.77,106148.86,105251.8,105343.88,3.02241,1749974399999,319464.9241585,232,2.56599,271338.6441718,0.0
2025-06-15 08:00:00+00:00,105479.05,105667.0,104894.22,104982.69,3.94398,1749988799999,414933.6058935,158,3.19094,335800.1691466,0.0
2025-06-15 12:00:00+00:00,104979.15,105825.68,104979.15,105673.68,0.5529,1750003199999,58345.6819983,189,0.28611,30203.2089974,0.0
2025-06-15 16:00:00+00:00,105673.68,105763.63,105072.78,105280.51,0.82,1750017599999,86453.3509906,200,0.19411,20479.9441597,0.0
2025-06-15 20:00:00+00:00,105300.35,105569.84,104500.47,105540.14,0.32055,1750031999999,33666.1524423,236,0.16391,17222.2030058,0.0
2025-06-16 00:00:00+00:00,105520.11,106000.82,105025.92,105869.62,1.66685,1750046399999,176158.9034266,236,1.13932,120472.0196039,0.0
2025-06-16 04:00:00+00:00,105972.72,107208.55,105826.64,107051.34,1.2904,1750060799999,137503.2025789,427,0.91059,97027.3563349,0.0
2025-06-16 08:00:00+00:00,107159.9,107221.32,106641.55,106850.9,0.36198,1750075199999,38745.4360462,91,0.17517,18752.5418103,0.0
2025-06-16 12:00:00+00:00,106927.4,107742.24,106500.0,107372.89,1.03882,1750089599999,111348.398287,277,0.64785,69463.083791,0.0
2025-06-16 16:00:00+00:00,107456.89,108832.98,107397.14,108506.96,3.41813,1750103999999,369750.3452935,625,1.82374,197254.8915086,0.0
2025-06-16 20:00:00+00:00,108774.96,108833.3,106766.08,106825.99,0.92762,1750118399999,100364.7904693,380,0.64464,69809.8093795,0.0
2025-06-17 00:00:00+00:00,106766.12,107685.15,106188.39,107547.58,2.09003,1750132799999,223681.6976228,453,1.69337,181243.1473278,0.0
2025-06-17 04:00:00+00:00,107487.58,107648.32,106500.01,106817.83,0.15976,1750147199999,17103.7402555,147,0.08911,9544.380502,0.0
2025-06-17 08:00:00+00:00,106642.3,106797.57,105553.38,105653.25,0.33805,1750161599999,35835.0769533,225,0.10363,10999.9684845,0.0
2025-06-17 12:00:00+00:00,105653.23,106035.8,104149.9,104246.54,3.18337,1750175999999,333612.6905903,501,0.65607,69141.5309052,0.0
2025-06-17 16:00:00+00:00,104251.01,105374.03,103152.0,104877.09,4.0367,1750190399999,420571.9650427,574,2.65945,277790.8984079,0.0
2025-06-17 20:00:00+00:00,104713.94,104789.85,104263.16,104613.46,0.78378,1750204799999,81955.091121,204,0.23022,24064.9746547,0.0
2025-06-18 00:00:00+00:00,104644.26,105234.57,104492.69,105234.55,0.45552,1750219199999,47783.9944334,155,0.29582,31042.1149662,0.0
2025-06-18 04:00:00+00:00,105140.28,105480.47,104762.51,104995.84,3.50239,1750233599999,368866.9401732,219,2.86775,302029.9929125,0.0
2025-06-18 08:00:00+00:00,104879.55,105256.07,104198.8,104882.61,0.39868,1750247999999,41665.6871077,149,0.26948,28171.7535902,0.0
2025-06-18 12:00:00+00:00,104855.51,105251.8,103904.06,104770.79,1.217,1750262399999,127411.7268865,367,0.58115,60810.7497511,0.0
2025-06-18 16:00:00+00:00,104781.55,104856.01,103584.45,103798.36,0.73746,1750276799999,76883.4739454,435,0.52655,54941.1444055,0.0
2025-06-18 20:00:00+00:00,104001.07,105182.69,103728.11,104879.86,0.67231,1750291199999,70354.6667007,224,0.39084,40919.7168865,0.0
2025-06-19 00:00:00+00:00,104960.31,105234.56,104499.19,104924.52,0.16286,1750305599999,17078.7450261,155,0.04946,5184.3831066,0.0
2025-06-19 04:00:00+00:00,104820.38,105165.56,104605.31,104612.82,0.91544,1750319999999,95951.555537,103,0.4859,50944.9265347,0.0
2025-06-19 08:00:00+00:00,104684.34,105070.49,104661.93,104815.4,0.52749,1750334399999,55321.8930013,41,0.18594,19516.740146,0.0
2025-06-19 12:00:00+00:00,104666.01,104902.02,104130.16,104166.37,0.24984,1750348799999,26111.8612843,139,0.18453,19285.9100899,0.0
2025-06-19 16:00:00+00:00,104164.68,104818.66,104000.0,104280.29,0.89461,1750363199999,93392.9998772,216,0.58755,61348.0746123,0.0
2025-06-19 20:00:00+00:00,104302.55,104863.84,104152.32,104720.21,0.47035,1750377599999,49154.3459235,381,0.372,38871.4790849,0.0
2025-06-20 00:00:00+00:00,104685.72,104827.74,104391.61,104723.78,0.68057,1750391999999,71211.5947699,135,0.23669,24789.399587,0.0
2025-06-20 04:00:00+00:00,104537.18,105756.94,104264.07,105730.51,0.29678,1750406399999,31196.6404471,193,0.11709,12325.0783895,0.0
2025-06-20 08:00:00+00:00,105780.07,106531.74,105740.94,106070.6,1.05194,1750420799999,111572.8416743,238,0.67916,72046.9328582,0.0
2025-06-20 12:00:00+00:00,105909.55,106145.37,103876.58,104347.87,1.13836,1750435199999,119683.2297221,433,0.34072,35882.6386824,0.0
2025-06-20 16:00:00+00:00,104320.95,104320.95,102382.9,103416.43,3.85002,1750449599999,398072.7477764,638,2.01851,209206.2770763,0.0
2025-06-20 20:00:00+00:00,103395.06,103776.28,103014.5,103320.72,1.32572,1750463999999,136914.0474636,222,0.18181,18812.6328293,0.0
2025-06-21 00:00:00+00:00,103270.88,103674.15,103123.25,103635.19,0.20153,1750478399999,20840.9979259,97,0.18064,18681.1549216,0.0
2025-06-21 04:00:00+00:00,103485.69,103587.86,103274.91,103394.42,0.39369,1750492799999,40720.5418614,87,0.32615,33734.1574092,0.0
2025-06-21 08:00:00+00:00,103505.21,103950.49,103394.43,103784.7,0.1143,1750507199999,11862.4513199,89,0.04946,5134.9798296,0.0
2025-06-21 12:00:00+00:00,103807.92,103950.49,103343.19,103390.45,0.16042,1750521599999,16622.4134916,94,0.05325,5518.6500797,0.0
2025-06-21 16:00:00+00:00,103616.28,103625.34,102279.61,102291.57,0.65292,1750535999999,67112.9293538,252,0.10669,10977.7783513,0.0
2025-06-21 20:00:00+00:00,102259.51,102822.29,100935.45,101976.53,10.35829,1750550399999,1050321.1541018,759,5.74071,581501.6938387,0.0
2025-06-22 00:00:00+00:00,101976.53,103323.86,101889.63,102393.87,1.58325,1750564799999,162373.7206787,416,0.94046,96357.8830037,0.0
2025-06-22 04:00:00+00:00,102368.89,102962.32,102275.39,102516.65,0.15041,1750579199999,15441.1406153,99,0.05929,6092.6949494,0.0
2025-06-22 08:00:00+00:00,102515.76,102761.97,102133.6,102761.97,0.19451,1750593599999,19931.4398968,64,0.07975,8184.701512,0.0
2025-06-22 12:00:00+00:00,102632.58,102827.71,98900.0,99004.78,7.26611,1750607999999,723868.4176833,1021,2.26743,226060.0940773,0.0
2025-06-22 16:00:00+00:00,98984.39,100317.05,98704.13,98971.15,5.00715,1750622399999,497808.6888842,574,2.20393,218927.5746575,0.0
2025-06-22 20:00:00+00:00,98871.65,101000.0,98254.52,100900.6,2.14979,1750636799999,214341.1976882,551,1.14811,115225.5237873,0.0
2025-06-23 00:00:00+00:00,100871.62,101524.46,100564.81,101086.03,0.95416,1750651199999,96351.1467373,262,0.38413,38830.3758824,0.0
2025-06-23 04:00:00+00:00,101043.33,102019.74,100959.62,101959.71,0.72859,1750665599999,74051.3596079,168,0.36847,37514.7534102,0.0
2025-06-23 08:00:00+00:00,101927.13,101927.13,101151.9,101268.65,0.12813,1750679999999,12993.8650525,74,0.05665,5742.7588548,0.0
2025-06-23 12:00:00+00:00,101268.67,102500.0,100792.87,101380.68,2.15389,1750694399999,219262.248547,385,0.78815,80414.0659507,0.0
2025-06-23 16:00:00+00:00,101444.85,103198.84,99594.16,103198.84,6.07136,1750708799999,619836.9175502,1069,3.2217,329422.076736,0.0
2025-06-23 20:00:00+00:00,103115.09,105883.31,102915.51,105491.81,3.87154,1750723199999,405149.0854782,856,2.48662,260600.8219316,0.0
2025-06-24 00:00:00+00:00,105394.97,105421.1,104762.51,104973.69,1.18195,1750737599999,124166.3441624,337,0.95595,100452.4537819,0.0
2025-06-24 04:00:00+00:00,104974.29,105702.68,104669.6,104894.22,0.82807,1750751999999,87185.9012725,248,0.67433,71005.8523121,0.0
2025-06-24 08:00:00+00:00,104930.95,105551.41,104606.93,105073.93,0.42642,1750766399999,44818.0028653,182,0.37785,39713.3102745,0.0
2025-06-24 12:00:00+00:00,105066.14,105702.66,104884.32,105203.43,1.24512,1750780799999,131155.6550236,266,0.49606,52249.3422531,0.0
2025-06-24 16:00:00+00:00,105290.26,106156.86,105200.56,105423.62,0.9123,1750795199999,96482.7047896,316,0.51127,54018.6530789,0.0
